Date	SWR_in
10.03.2019 00:00:00	1.768
10.03.2019 00:02:00	1.664
10.03.2019 00:04:00	1.598
10.03.2019 00:06:00	1.649
10.03.2019 00:08:00	1.781
10.03.2019 00:10:00	1.787
10.03.2019 00:12:00	1.715
10.03.2019 00:14:00	1.614
10.03.2019 00:16:00	1.598
10.03.2019 00:18:00	1.593
10.03.2019 00:20:00	1.589
10.03.2019 00:22:00	1.548
10.03.2019 00:24:00	1.574
10.03.2019 00:26:00	1.666
10.03.2019 00:28:00	1.657
10.03.2019 00:30:00	1.646
10.03.2019 00:32:00	1.613
10.03.2019 00:34:00	1.573
10.03.2019 00:36:00	1.555
10.03.2019 00:38:00	1.692
10.03.2019 00:40:00	1.852
10.03.2019 00:42:00	1.855
10.03.2019 00:44:00	1.78
10.03.2019 00:46:00	1.666
10.03.2019 00:48:00	1.658
10.03.2019 00:50:00	1.908
10.03.2019 00:52:00	1.925
10.03.2019 00:54:00	1.912
10.03.2019 00:56:00	1.814
10.03.2019 00:58:00	1.68
10.03.2019 01:00:00	1.497
10.03.2019 01:02:00	1.357
10.03.2019 01:04:00	1.388
10.03.2019 01:06:00	1.59
10.03.2019 01:08:00	1.522
10.03.2019 01:10:00	1.262
10.03.2019 01:12:00	1.234
10.03.2019 01:14:00	1.178
10.03.2019 01:16:00	1.203
10.03.2019 01:18:00	1.27
10.03.2019 01:20:00	1.294
10.03.2019 01:22:00	1.31
10.03.2019 01:24:00	1.406
10.03.2019 01:26:00	1.453
10.03.2019 01:28:00	1.574
10.03.2019 01:30:00	1.806
10.03.2019 01:32:00	1.762
10.03.2019 01:34:00	1.597
10.03.2019 01:36:00	1.487
10.03.2019 01:38:00	1.457
10.03.2019 01:40:00	1.579
10.03.2019 01:42:00	1.692
10.03.2019 01:44:00	1.725
10.03.2019 01:46:00	1.636
10.03.2019 01:48:00	1.535
10.03.2019 01:50:00	1.417
10.03.2019 01:52:00	1.323
10.03.2019 01:54:00	1.293
10.03.2019 01:56:00	1.347
10.03.2019 01:58:00	1.525
10.03.2019 02:00:00	1.608
10.03.2019 02:02:00	1.636
10.03.2019 02:04:00	1.595
10.03.2019 02:06:00	1.482
10.03.2019 02:08:00	1.345
10.03.2019 02:10:00	1.195
10.03.2019 02:12:00	1.274
10.03.2019 02:14:00	1.485
10.03.2019 02:16:00	1.673
10.03.2019 02:18:00	1.755
10.03.2019 02:20:00	1.747
10.03.2019 02:22:00	1.703
10.03.2019 02:24:00	1.584
10.03.2019 02:26:00	1.559
10.03.2019 02:28:00	1.64
10.03.2019 02:30:00	1.732
10.03.2019 02:32:00	1.8
10.03.2019 02:34:00	1.705
10.03.2019 02:36:00	1.638
10.03.2019 02:38:00	1.56
10.03.2019 02:40:00	1.529
10.03.2019 02:42:00	1.53
10.03.2019 02:44:00	1.418
10.03.2019 02:46:00	1.377
10.03.2019 02:48:00	1.351
10.03.2019 02:50:00	1.23
10.03.2019 02:52:00	1.116
10.03.2019 02:54:00	1.168
10.03.2019 02:56:00	1.176
10.03.2019 02:58:00	1.364
10.03.2019 03:00:00	1.476
10.03.2019 03:02:00	1.518
10.03.2019 03:04:00	1.41
10.03.2019 03:06:00	1.482
10.03.2019 03:08:00	1.509
10.03.2019 03:10:00	1.547
10.03.2019 03:12:00	1.6
10.03.2019 03:14:00	1.523
10.03.2019 03:16:00	1.465
10.03.2019 03:18:00	1.545
10.03.2019 03:20:00	1.606
10.03.2019 03:22:00	1.678
10.03.2019 03:24:00	1.696
10.03.2019 03:26:00	1.76
10.03.2019 03:28:00	1.838
10.03.2019 03:30:00	1.885
10.03.2019 03:32:00	1.984
10.03.2019 03:34:00	2.136
10.03.2019 03:36:00	2.076
10.03.2019 03:38:00	2.134
10.03.2019 03:40:00	2.031
10.03.2019 03:42:00	2.023
10.03.2019 03:44:00	1.995
10.03.2019 03:46:00	2.032
10.03.2019 03:48:00	2.139
10.03.2019 03:50:00	2.169
10.03.2019 03:52:00	2.192
10.03.2019 03:54:00	2.079
10.03.2019 03:56:00	1.863
10.03.2019 03:58:00	1.704
10.03.2019 04:00:00	1.777
10.03.2019 04:02:00	1.687
10.03.2019 04:04:00	1.395
10.03.2019 04:06:00	1.282
10.03.2019 04:08:00	1.507
10.03.2019 04:10:00	1.703
10.03.2019 04:12:00	1.601
10.03.2019 04:14:00	1.43
10.03.2019 04:16:00	1.452
10.03.2019 04:18:00	1.585
10.03.2019 04:20:00	1.674
10.03.2019 04:22:00	1.772
10.03.2019 04:24:00	1.888
10.03.2019 04:26:00	1.921
10.03.2019 04:28:00	2.044
10.03.2019 04:30:00	2.091
10.03.2019 04:32:00	2.149
10.03.2019 04:34:00	2.204
10.03.2019 04:36:00	2.019
10.03.2019 04:38:00	1.856
10.03.2019 04:40:00	1.946
10.03.2019 04:42:00	2.03
10.03.2019 04:44:00	1.89
10.03.2019 04:46:00	1.838
10.03.2019 04:48:00	1.983
10.03.2019 04:50:00	2.059
10.03.2019 04:52:00	2.102
10.03.2019 04:54:00	1.955
10.03.2019 04:56:00	1.925
10.03.2019 04:58:00	1.804
10.03.2019 05:00:00	1.731
10.03.2019 05:02:00	1.607
10.03.2019 05:04:00	1.731
10.03.2019 05:06:00	1.969
10.03.2019 05:08:00	1.935
10.03.2019 05:10:00	1.832
10.03.2019 05:12:00	1.817
10.03.2019 05:14:00	1.859
10.03.2019 05:16:00	1.761
10.03.2019 05:18:00	1.775
10.03.2019 05:20:00	1.928
10.03.2019 05:22:00	2.051
10.03.2019 05:24:00	2.086
10.03.2019 05:26:00	1.989
10.03.2019 05:28:00	1.758
10.03.2019 05:30:00	1.711
10.03.2019 05:32:00	1.56
10.03.2019 05:34:00	1.456
10.03.2019 05:36:00	1.351
10.03.2019 05:38:00	1.279
10.03.2019 05:40:00	1.323
10.03.2019 05:42:00	1.347
10.03.2019 05:44:00	1.546
10.03.2019 05:46:00	1.578
10.03.2019 05:48:00	1.577
10.03.2019 05:50:00	1.582
10.03.2019 05:52:00	1.679
10.03.2019 05:54:00	1.948
10.03.2019 05:56:00	2.053
10.03.2019 05:58:00	2.017
10.03.2019 06:00:00	2.014
10.03.2019 06:02:00	1.893
10.03.2019 06:04:00	1.728
10.03.2019 06:06:00	1.68
10.03.2019 06:08:00	1.729
10.03.2019 06:10:00	1.746
10.03.2019 06:12:00	1.97
10.03.2019 06:14:00	2.067
10.03.2019 06:16:00	2.082
10.03.2019 06:18:00	2.129
10.03.2019 06:20:00	2.082
10.03.2019 06:22:00	2.003
10.03.2019 06:24:00	1.99
10.03.2019 06:26:00	1.866
10.03.2019 06:28:00	1.951
10.03.2019 06:30:00	2.005
10.03.2019 06:32:00	1.945
10.03.2019 06:34:00	1.863
10.03.2019 06:36:00	1.989
10.03.2019 06:38:00	2.194
10.03.2019 06:40:00	2.328
10.03.2019 06:42:00	2.643
10.03.2019 06:44:00	2.894
10.03.2019 06:46:00	3.412
10.03.2019 06:48:00	4.116
10.03.2019 06:50:00	4.832
10.03.2019 06:52:00	5.554
10.03.2019 06:54:00	6.306
10.03.2019 06:56:00	7.033
10.03.2019 06:58:00	7.794
10.03.2019 07:00:00	8.66
10.03.2019 07:02:00	9.53
10.03.2019 07:04:00	10.15
